# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,
ESO358-66_F378_450px                              ,450.00000000,450.00000000,7.66981584,0.77781746,0.00079273,0.01048623,223.50014617,225.50085625,223.73145074,226.15286528,224.24515222,229.39657924,224.22462454,230.28892897,10.63287641,7.82204973,136.93674086,0.00170430,50.27183034,1.32892248,27.55893453,223.79849984,226.75116115,0.00063954,112.65697951,2.32513194,0.51147335,133.12911691,31.37284088,11.15077347,18.28269715,23.95095031,29.45710119,37.42036634,46.90180008,54.33058991,63.98959298,70.88002959,44.70298073,0.54406908,0.27741586,1.08617693,0.00033412,0.12597746,0.00035790,1.00036820,0.73458222,1.54759688,0.00080900,0.64182897,0.50359390,-inf,1.57619186,0.72069199,0.87419004,-0.47026309,8.89298532,32.00000000,
ESO358-66_F515_450px                              ,450.00000000,450.00000000,5.94759128,0.77781746,0.00077381,0.05797757,221.50091257,227.50031925,222.12681966,227.86704951,220.54974691,227.98634267,219.24310919,229.31185701,19.65679271,12.13009587,136.60530229,0.02128020,45.97785921,1.26653156,17.30033040,222.78320210,226.39118340,0.00772951,104.93144463,2.26992265,0.41750466,137.34946035,354.17547607,12.81589291,20.42918477,28.01039765,35.53600350,45.63989689,56.06151802,67.18732197,82.05922774,101.19680423,85.45643898,0.60387639,0.34582214,0.99348396,0.00016361,0.30234176,0.00578262,1.00148268,0.78513428,0.84889032,0.00276888,0.56287433,0.53106760,-inf,1.57467679,0.66840976,0.74835193,-0.58978166,8.44252211,0.00000000,
ESO358-66_F660_450px                              ,450.00000000,450.00000000,4.75042524,0.77781746,0.00122731,0.01657475,222.50096000,225.50082064,223.23481208,226.07615316,224.14691953,225.83917361,221.82057762,225.83918093,21.06565983,12.01735101,133.95745090,0.02351772,36.97370920,1.02152041,10.96693138,223.07398387,226.13048216,0.02013449,45.74027912,1.20097960,0.43878860,133.46444668,230.29779053,11.87955669,18.51055091,24.86342104,31.76343703,38.87819254,47.30689289,58.59898051,72.91656222,91.53128532,65.79502000,0.59540684,0.37186349,0.79536080,0.00007196,0.22080756,0.00287570,1.00033659,0.46688848,1.41727248,0.00109249,0.41291183,0.57438952,-inf,1.56782022,0.45612045,0.79618936,-0.39535709,7.11900507,0.00000000,
ESO358-66_F861_450px                              ,450.00000000,450.00000000,3.78509523,0.77781746,0.00081717,0.08829004,222.50114114,224.50123594,223.23045971,225.46840196,227.40325381,223.11354217,221.80399142,226.83927918,21.83108448,12.60260147,134.08584620,0.10425162,35.27169528,0.91914993,9.72637526,223.98334059,225.67794208,0.08375755,45.54072631,1.14471374,0.44066718,134.66166756,879.05932617,11.54860456,17.75964903,23.57399967,29.63524594,36.72640019,43.99511139,52.91850374,65.45605758,79.70224906,61.91598547,0.56651547,0.33649221,0.94435064,0.00010042,0.12139662,0.00282715,1.00030347,0.52449376,1.95640603,0.00152977,0.49817206,0.55178135,-inf,1.58969350,0.56688651,0.77202175,0.85042812,4.68479248,0.00000000,
ESO358-66_G_450px                                 ,450.00000000,450.00000000,7.11308635,0.77781746,0.00920606,0.11346721,222.50120657,225.50090003,223.45614482,225.87235211,224.01737793,226.38697427,222.85336397,227.38621660,21.68448215,12.30688034,133.95437920,0.17559182,39.30603710,1.09830457,9.28150000,223.33651549,226.19101881,0.15763047,48.45171456,1.25558593,0.41579064,133.48502785,1943.22680664,12.30064938,18.97442375,25.55954031,32.61272148,40.43290069,49.34314348,60.76003108,76.43400410,93.50637620,71.67419896,0.60511802,0.36410633,0.82947721,0.00005839,0.14576553,0.00228730,1.00027066,0.43789327,1.42957765,0.00105453,0.40907832,0.57991506,-inf,1.58791469,0.40637602,0.80999987,0.58047872,4.77164860,0.00000000,
ESO358-66_I_450px                                 ,450.00000000,450.00000000,5.16844888,0.77781746,0.01007758,0.22682999,222.50070103,225.50120850,222.78246670,226.05054906,222.20703515,228.95800396,223.03895436,226.18679380,23.50112044,12.90249914,133.79503594,0.41252690,38.03000048,1.02943524,25.38771787,223.12309565,226.44634898,0.33233844,49.44740835,1.27627506,0.40913268,135.12692262,6109.76123047,15.65481958,25.10615353,35.58550202,48.21588935,66.57546447,93.03590837,143.40190259,156.33634005,157.92173650,79.80309509,0.79427976,0.37512771,0.83589619,0.00003712,0.19522268,0.00764851,1.00058881,0.52672224,0.77363815,0.00315433,0.42145897,0.60064788,-inf,1.58841132,0.36723249,0.74267877,0.86080992,5.89304191,0.00000000,
ESO358-66_R_450px                                 ,450.00000000,450.00000000,5.35125357,0.77781746,0.01406425,0.12684219,222.50086363,225.50077884,222.90933734,225.90639448,223.42825929,226.58151150,218.74578475,227.17632213,24.07288254,13.71508688,134.60795060,0.36011433,37.68338006,1.03485424,24.88560797,223.19771144,226.17523443,0.30489240,47.37214463,1.24056714,0.42754885,134.38047356,6483.37548828,17.27422818,28.82555933,41.95621738,60.35848731,90.79140294,150.63346087,154.91658444,156.37467247,157.50807236,92.64614220,0.73438867,0.23925809,0.58631711,0.00001956,0.49027271,0.01179427,1.00032409,0.51081432,0.62134443,0.00390047,0.29662463,0.64893867,-inf,1.58347422,0.38672923,0.70807492,-0.38908184,5.01064657,0.00000000,
ESO358-66_Z_450px                                 ,450.00000000,450.00000000,5.19096149,0.77781746,-0.00849155,0.24905901,222.50046513,227.50089531,222.74055925,227.94948217,223.95749560,227.45488091,219.82833159,226.99338371,11.33943991,7.30757103,136.11349209,0.25470967,35.09390775,1.04559899,7.56316033,222.92534573,227.18623862,0.22928737,43.25525222,1.20126948,0.46948318,135.68525048,2370.03662109,10.62288150,16.49161509,22.05874757,27.81547710,33.83356881,41.20575517,50.24304850,60.17282422,74.12067484,69.80540344,0.56213721,0.34059155,0.96295709,0.00010507,0.17747169,0.00380537,1.00038719,0.59199536,0.72888046,0.00222841,0.48524851,0.56146109,-inf,1.58386759,0.55654930,0.77938271,-0.91241236,4.38558482,0.00000000,
ESO359-2_F660_450px                               ,450.00000000,450.00000000,3.77597406,0.77781746,0.00296628,0.03166099,196.50051908,304.50045733,209.83093343,267.72660110,211.39909724,264.99894436,221.73656892,235.10435297,45.41815323,12.77658505,111.16408765,0.02436832,148.99990318,1.33171267,75.03744256,225.50682308,224.14115930,0.15478291,30.81700010,1.38048093,0.58500810,134.33996445,2135.96875000,38.20257445,39.26692137,39.92211315,40.76442338,42.38263276,47.78215110,57.81201546,71.53517945,95.64019012,75.76493856,0.26049282,0.35345250,0.42224232,0.00001482,0.98822030,0.41120836,0.85499140,0.47882628,51.62734298,0.04615441,0.48023074,0.70951932,-0.63665038,1.58075234,0.26547425,0.49189546,0.23342018,1.34272860,64.00000000,
ESO359-2_I_450px                                  ,450.00000000,450.00000000,4.38777285,0.77781746,0.00156722,0.26134539,196.50054568,304.50031183,210.68613326,265.63095725,211.59688000,265.96245303,219.85320198,236.67336720,45.45047349,13.11070940,111.36499736,0.50168675,146.99999955,0.71438051,64.31819185,225.57212265,224.13819209,1.62539085,29.92073184,1.34849761,0.58956181,134.39606290,20254.29492188,39.80412317,41.92533038,42.69006405,43.38453915,44.56169198,49.00830985,58.05593003,71.52514672,95.41425313,74.82946389,0.23198226,0.33065158,0.38631258,0.00001290,1.01703491,0.46581891,0.82978673,0.39925950,55.29508815,0.04437177,0.45141338,0.72565552,-0.62510429,1.58393052,0.24835679,0.48661938,0.83761685,1.05546066,64.00000000,
