# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,
ESO3585_F378_450px                                ,450.00000000,450.00000000,6.19731905,0.77781746,0.00043608,0.01060261,214.50032769,227.50023404,218.67125711,228.36194510,220.98378330,234.82469982,223.76466381,230.76940018,31.82332731,24.41145133,9.59266194,0.00586274,51.19268641,0.50000003,14.05375452,218.71979263,228.53640529,0.00646153,49.70024962,0.44150413,0.72848754,10.21968962,93.39070892,19.14460571,27.37239072,33.89078761,40.38474121,46.72562280,53.02715249,59.24228617,65.99016380,75.95994677,73.66902935,0.38216648,0.21102955,1.07894867,0.00011351,0.13910753,0.01849015,0.82085816,0.65299404,5.78128122,0.03364198,0.85095512,0.52830213,-0.30601401,1.62232302,0.72188063,0.83514976,-0.20104783,4.35597174,0.00000000,
ESO3585_F395_450px                                ,450.00000000,450.00000000,5.26950408,0.77781746,0.00059257,0.01670903,211.50025186,226.50008694,216.98107991,227.19403197,219.19361948,230.39579434,228.19509859,224.30365606,27.87839411,22.22298663,12.71306853,0.00640778,50.52127520,0.50000002,20.01608096,217.90952496,226.80988803,0.00576210,54.76395436,0.61000620,0.76256810,13.41953059,110.40046692,19.77676451,28.12680044,34.32126180,40.64630117,47.09344135,54.21484387,61.39967045,71.24018181,82.77952954,78.69178177,0.40360469,0.24496253,1.12647588,0.00015132,0.10772293,0.01335243,0.90645627,0.79433814,7.02053576,0.02993488,0.83174049,0.52464166,-0.20729486,1.56358661,0.73665273,0.82894972,0.45581187,6.44719810,0.00000000,
ESO3585_F410_450px                                ,450.00000000,450.00000000,5.63042557,0.77781746,0.00508049,0.03832431,210.50042550,227.50038515,218.31652388,229.01096404,221.23130264,233.16341386,229.01127296,229.34229364,34.66239235,26.11135391,177.99947021,0.01998342,52.19894500,0.50000000,15.75483065,216.69256679,229.02401800,0.01903741,54.45024651,0.56447051,0.72339486,0.75981161,358.05877686,20.08920912,29.81930836,36.11242677,43.00079032,50.50896841,58.46263108,65.35060365,75.19340663,88.97012630,88.83110843,0.40168219,0.24587571,1.10810123,0.00010702,0.11096491,0.02569287,0.82438049,0.73869061,8.96164803,0.04465593,0.84690251,0.53447772,-0.37472630,1.59329973,0.75587802,0.72912482,-0.52285194,6.56289395,0.00000000,
ESO3585_F430_450px                                ,450.00000000,450.00000000,5.20426847,0.77781746,0.00200886,0.04026137,211.50043077,227.50055816,218.63790570,229.69754283,222.34719765,229.99354892,223.15017624,231.74682888,32.93350039,24.57667910,5.58269582,0.02495688,49.35085863,0.50000000,12.13380838,217.81832546,229.03079042,0.02588565,49.45867992,0.48191111,0.71505031,8.41100654,388.02328491,19.18016472,28.10756884,33.75278880,40.68660306,47.13465653,54.36920877,61.54341256,69.28637450,80.83852280,81.60908719,0.39182455,0.23427802,1.09315068,0.00010375,0.12247353,0.02839394,0.80052933,0.69294881,9.15088151,0.04720070,0.82835306,0.53893624,-0.37970159,1.57412420,0.74090082,0.66879044,1.60491555,6.51100183,0.00000000,
ESO3585_F515_450px                                ,450.00000000,450.00000000,4.53935490,0.77781746,-0.00076190,0.04181862,209.50002476,226.50076178,215.51600610,229.77785595,217.25424857,230.89405924,221.96332745,227.74042965,31.77478564,25.31066900,3.40296564,0.04744114,45.87755791,0.50000000,8.39567124,217.41510537,228.74827571,0.04828905,46.10971860,0.48862693,0.75138758,12.63395457,726.42004395,18.49038131,26.61971051,31.99589079,38.53693905,45.52734445,53.05092791,58.56950176,66.32904801,79.58525459,75.63137257,0.39650044,0.24256029,0.98954142,0.00005756,0.15745067,0.02469980,0.61465893,0.49853756,9.05794479,0.03032077,0.83670082,0.54093858,-0.69274431,1.60911681,0.61151650,0.71516364,1.17805208,4.42614896,0.00000000,
ESO3585_F660_450px                                ,450.00000000,450.00000000,4.76809798,0.77781746,0.00015982,0.01515732,206.50019238,227.50005279,215.57687412,230.54610918,220.66844495,231.68532611,226.67732694,228.84650026,35.06885617,27.03875821,175.10050844,0.05077846,45.53680985,0.50212517,5.22629317,218.53206696,229.55589263,0.05057902,45.63227486,0.50454713,0.75105058,12.22250419,809.35589600,18.77185172,27.64482854,32.76286280,39.70712140,47.13032639,54.36401192,58.21866802,67.04397763,80.71130909,86.07720860,0.38474587,0.23363394,0.68231961,0.00001873,0.30501488,0.08948312,0.75618496,0.42702903,11.12276278,0.04940283,0.48254108,0.64898771,-0.96885490,1.59925755,0.59689775,0.70405246,0.35153804,2.27333511,64.00000000,
ESO3585_F861_450px                                ,450.00000000,450.00000000,4.82723470,0.77781746,0.00133035,0.08693297,205.50010191,226.50071042,211.47959891,231.29708716,216.84250079,228.94553040,223.68160749,230.34013955,32.73227708,25.81286497,171.42959263,0.09879478,45.51161015,0.50034391,10.00656108,216.85327935,228.61811591,0.08958150,47.05833366,0.56926248,0.76850184,9.40517768,1583.38305664,18.98255064,27.22893769,32.36900251,39.83790199,47.65780864,51.54413277,57.49481858,67.50594270,80.91058555,77.90238924,0.39431131,0.22987128,0.99072211,0.00005490,0.20032067,0.01825220,0.93211952,0.54689537,9.83985481,0.02304222,0.68410265,0.54294143,-0.50347293,1.61874913,0.62938572,0.80734981,-0.44248395,4.45426773,0.00000000,
ESO3585_G_450px                                   ,450.00000000,450.00000000,5.97568797,0.77781746,0.00470577,0.11450683,209.50000371,226.50050016,217.29822580,229.59162189,217.34052743,229.55073443,222.19209679,229.13339818,35.35471583,27.29684087,1.72402340,0.27127101,46.15306785,0.49999996,5.50607570,218.04417103,228.75729503,0.27620123,45.73642202,0.47400800,0.75322964,10.94921962,4132.18310547,18.53493047,27.11479494,32.67286101,39.26660653,46.14589124,53.49137716,59.37551207,66.64036043,78.80313895,83.71505082,0.39053101,0.23241048,0.82866044,0.00002771,0.19429569,0.04474965,0.42995424,0.43887294,10.02032718,0.02713290,0.64080620,0.60833231,-1.05351854,1.59549983,0.52047452,0.71703548,-0.38285910,3.16268767,64.00000000,
ESO3585_I_450px                                   ,450.00000000,450.00000000,4.01018545,0.77781746,0.01188554,0.16637205,204.50061551,226.50086592,212.60208159,231.09681818,215.04467557,229.45855796,226.17368925,230.24278696,33.55366041,25.94171839,173.70055307,0.42638227,45.66670235,0.56260323,7.04644562,217.01367166,228.84704746,0.42050928,45.81893658,0.56919465,0.75702107,10.84892851,7288.14111328,18.79410382,27.39110906,32.39001210,39.87022668,47.69123773,52.87057358,58.55005987,69.16708695,84.70884343,85.55350520,0.40228987,0.24949016,0.73800648,0.00002283,0.29514037,0.03840471,0.90560939,0.45012408,10.88712674,0.02933854,0.56296853,0.61818199,-0.91350359,1.60947700,0.44665862,0.74602878,-0.37674362,4.45711392,64.00000000,
ESO3585_R_450px                                   ,450.00000000,450.00000000,3.84371168,0.77781746,-0.00029446,0.13356821,205.50059374,226.50076961,214.48216507,230.68501984,216.75040083,230.46067679,225.74824095,229.18794053,34.89614592,26.98201865,176.32976256,0.41909002,45.96081668,0.53682764,5.91843750,217.58723978,229.08669079,0.42146980,45.73282034,0.52620099,0.76131611,10.97766665,6949.55859375,18.81983840,27.55418148,32.54697544,39.59245295,47.19072880,54.13582440,58.33337351,67.70467069,81.86864152,88.17199655,0.39043112,0.23926090,0.69894730,0.00001922,0.27338023,0.05983822,0.71808310,0.43890871,11.23759200,0.03660240,0.52519832,0.64189942,-1.00029234,1.60410399,0.46335513,0.76649440,-1.08734437,3.94377266,64.00000000,
