# rootname919,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,TVangledeg,TVsize
2MASXJ10302530-3533483_R_450px,450.0,450.0,4.31756213,0.77781746,-0.00946615,0.04428521,216.5017322,225.50188059,217.15131685,226.41224172,218.14837718,226.38496284,216.87696288,227.76245442,10.83217091,6.2926518,138.14311865,0.69706588,23.66047071,1.04906207,9.6604332,217.50739652,226.12722556,0.95979359,25.40979233,0.80844958,0.36780151,138.35477895,2733.59179688,7.13725685,11.47103243,15.09576773,18.51495055,22.38454756,27.00855774,33.07256878,42.06607143,56.85682696,46.49088772,0.56432945,0.4048343,0.16955303,1.62E-5,0.17641533,0.00749411,0.98332693,0.09276943,2.40553562,0.00837723,0.22738956,0.71714638,-Infinity,1.57881583,0.15757222,0.57980754,0.22005279,2.66344303,0.0,-125.50960833140734,1.1183548652062463
2MASXJ10344507-3528144_R_450px,450.0,450.0,4.31756213,0.77781746,-0.00341411,0.04256372,296.50007255,173.50143027,295.09210293,173.12125583,301.35762249,176.43813535,302.4694055,183.94133432,11.88864975,3.84346039,29.00523628,2.1625063,6.99997709,26.24080785,272.89845307,302.12812005,175.68342437,23.98695584,16.54453481,21.0000027,0.00721712,164.31578062,2735.61694336,4.34047855,4.757429,5.17750384,5.63636873,6.02748297,6.34362476,6.64398618,6.97679523,7.4639029,4.90350125,0.16628366,0.09282999,3.7695E-4,1.461E-5,-3.548E-4,3.29E-6,0.91368938,0.0,29.74187704,4.8265E-4,0.18471363,0.98977523,-Infinity,1.57507196,0.06388826,0.12013515,-0.21055824,4.02441476,104.0,15.110433925516466,1.4583933130922875
2MASXJ10370719-2752211_R_450px,450.0,450.0,3.34190898,0.77781746,-0.0084456,0.05757034,219.50072776,225.50126074,219.84674816,226.17941283,220.27645721,226.37918193,220.76032653,226.26797011,11.7985643,10.71841201,20.32441165,0.39120312,21.33554865,2.81309971,11.30389084,219.99999563,225.99999917,0.42569905,18.9508998,2.71631841,1.00007163,51.64628103,2254.87695312,2.84247321,5.22087184,7.84048844,10.42348644,13.16269926,16.55690332,20.58392729,25.83125701,33.75279761,32.36055263,0.69440251,0.40896482,0.28066378,2.552E-5,0.1384872,0.01417779,0.99729064,0.25021435,2.35264227,0.01008544,0.30883016,0.79055914,-Infinity,1.57481555,0.14430446,0.37553335,0.57448384,1.49597584,0.0,-117.0324983334634,0.7613280333650764
2MFGC8182_R_450px,450.0,450.0,2.90054396,0.77781746,-0.00146933,0.11779881,225.50135376,227.50102149,226.26859233,227.80013056,225.63672622,228.10962004,226.90611653,228.3185579,15.22680476,8.40489146,29.47030884,0.89964164,16.88106162,0.76127565,15.63124239,227.77922742,229.92182398,1.36754264,17.94072687,0.57939149,0.32634213,35.20690339,1656.13330078,6.07275221,9.68059191,12.47654073,14.60239952,16.47623947,19.75760131,24.09012734,30.59763003,42.32071008,33.84484468,0.49978588,0.40969485,0.32754339,7.11E-5,0.23548429,0.03315407,0.86318232,0.13041781,2.43310671,0.02033691,0.54225888,0.69082302,-0.53093497,1.55899827,0.24388729,0.48220303,0.71732121,3.05339374,0.0,-158.70160429835698,0.8234811831802241
6dFGSgJ040053.2-351416_R_450px,450.0,450.0,4.00224165,0.77781746,0.00160211,0.11692774,222.50090078,218.50125025,250.60540497,221.25673665,303.03212283,210.45464806,227.70499341,217.10467709,42.77994433,11.79245115,5.82522836,0.37884725,62.99941897,0.49999723,36.91106293,222.51739965,222.63950958,1.16716387,22.61999752,0.89238675,0.44701695,138.32443165,4686.44677734,28.20556804,36.81222837,46.17304138,56.91657698,60.28702363,61.51523746,63.71652732,73.96904865,86.53347015,78.79331397,0.30305793,0.15696028,0.5199169,2.494E-5,0.4800831,0.15366875,1.00023218,0.6554557,35.83966653,0.03722261,0.3285261,0.7980449,0.01072235,1.58355717,0.40342453,0.38552797,0.62620156,2.64173398,64.0,-174.40037218553806,28.23926098654695
6dFGSgJ040520.4-364859_R_450px,450.0,450.0,5.48928517,0.77781746,-0.01081682,0.12693192,216.50200142,220.50117209,217.66155439,220.95193558,217.64955329,221.76506664,215.79262138,222.3709032,11.07143957,9.55283985,113.22747898,0.50082856,13.42415539,1.04195922,5.50943966,217.33058704,221.21801413,0.52249951,14.63390758,1.10813388,0.67515926,116.39332622,903.52258301,4.16843722,6.38307323,8.37558141,10.47644469,13.02404024,15.57610644,18.14749797,21.79470097,27.10783704,27.45612881,0.53332109,0.31834914,0.58679548,1.4043E-4,0.17229805,0.00234773,1.00033986,0.31250199,4.53117899,6.5716E-4,0.39247373,0.6696139,-Infinity,1.57988124,0.36665435,0.75768401,-0.09815614,2.49631288,0.0,-158.7569534664556,1.2440863370975392
6dFGSgJ103416.6-283406_R_450px,450.0,450.0,3.34190898,0.77781746,-0.00463828,0.05942032,236.50005684,223.50173819,236.43876373,224.41485764,236.9049849,224.44821965,237.64753337,225.12074122,10.18621954,8.04609767,160.10153864,1.35996987,10.43383881,0.77499376,8.26695061,236.44681496,223.45253171,1.28046068,10.75011343,0.93801257,0.74970978,163.25463951,1291.31787109,3.60610527,5.49283955,7.09945125,8.85430132,10.66569794,12.61094652,15.07917804,18.38805383,23.72982737,22.5998893,0.52473885,0.3473053,0.20818027,4.599E-5,0.16765727,0.02054495,0.9888096,0.14844399,4.04946355,0.00300425,0.33103076,0.76058674,-Infinity,1.57131188,0.08106823,0.62128305,0.08043593,1.4931446,0.0,-86.15978364960115,0.915174286844749
6dFGSgJ103645.4-281005_R_450px,450.0,450.0,3.34190898,0.77781746,-0.00208254,0.05705934,314.5001987,240.5019611,314.72323251,241.23799961,315.1278506,241.81534618,317.85817096,241.70916758,3.33737416,3.02636013,23.28772085,15.8213838,2.83507029,0.5000036,11.56987013,315.00010852,241.48311089,181.92015232,1.34849709,21.00001202,0.04739064,89.81156995,3028.23657227,1.0,1.0,1.0,1.05481422,1.26204595,1.50610624,1.80836331,2.21958139,2.92609229,2.72392469,0.34627107,0.36521285,5.6696E-4,1.799E-5,0.04216559,3.1679E-4,0.89812991,0.0,28.23456415,0.0,,0.74229984,-Infinity,1.57030806,0.03554626,0.40842319,0.27399288,0.14825933,73.0,-106.85781677823047,0.7690882710106554
6dFGSgJ103650.7-260919_R_450px,450.0,450.0,3.00572365,0.77781746,-0.00238867,0.10976619,265.50184133,165.50215626,259.4093172,177.2444034,273.10764378,170.70875895,266.28201498,167.64153916,27.7881338,4.67513872,122.78694409,0.40460798,24.99999395,2.00249956,185.68913141,266.99999629,165.00000595,0.99084972,14.33292697,3.79151142,0.45316963,135.7898735,5455.01953125,13.55648233,14.65242696,15.10907439,15.38792942,15.65336613,15.9952744,17.57471355,18.70853511,21.08922115,13.97080526,0.10613022,0.1294528,0.0197505,1.999E-5,0.96310524,0.02052526,1.00081041,0.05854443,94.68836448,0.00121365,0.30075021,0.61857908,-Infinity,1.5598367,0.24113733,0.58392928,0.00380402,6.77296077,80.0,-62.5772308472075,13.228727004949155
6dFGSgJ103719.9-281420_R_450px,450.0,450.0,3.34190898,0.77781746,-0.00989222,0.05628741,170.50041047,141.50104165,170.81116884,141.67393368,171.2836851,142.20796231,171.28671418,142.12135552,2.340456,2.09809282,143.84652932,3.73367228,2.81349228,0.49999995,10.59073671,170.9480761,141.86453571,12.0154094,0.99999492,17.45967423,0.98369112,1.24131625,688.53277588,1.0,1.0,1.0,1.03755011,1.25706338,1.51585788,1.83666555,2.27285086,3.00819503,2.72739718,0.35657094,0.37894881,0.00769256,7.972E-5,0.95409794,0.00120741,0.98492805,0.00362677,13.03864167,0.0,,0.77101248,-Infinity,1.56373464,0.03176665,0.45576944,0.24424933,0.15772662,73.0,-150.91039795166878,0.355615548820048
ESO35710_R_450px,450.0,450.0,6.18226999,0.77781746,0.00202136,0.14174178,214.50024025,218.5002854,214.50330222,218.73357712,215.62216386,217.7717243,217.28070099,218.90911116,13.62156964,9.83663494,115.2791325,0.04812985,65.57016129,2.39024323,8.53340473,214.94196612,217.25320502,0.12688032,39.35640617,1.48997678,0.57920281,113.08471203,1347.81774902,8.22850413,13.81601465,19.16233085,24.55945229,29.90056752,34.99742813,40.75446693,48.06769614,57.06555429,65.84771034,0.54147052,0.28069461,1.0330832,1.0515E-4,0.08736753,6.4562E-4,1.00038472,0.55016251,0.35432032,0.00108666,0.34812606,0.59322214,-Infinity,1.59148944,0.49589344,0.77527075,0.09151027,2.53874647,0.0,-90.75196788891472,0.23331181341896193
ESO35717_R_450px,450.0,450.0,4.29972048,0.77781746,-0.00268719,0.18827888,232.50047049,228.50185656,231.11385142,229.1278485,234.41014974,230.1527504,228.46958279,228.87173466,21.0712294,8.27430192,2.54951728,0.68562389,27.90374776,1.17654083,6.98837266,234.03608215,229.5877252,0.75065877,33.03756539,1.26695029,0.24100622,0.93802889,2467.63427734,7.84895632,12.54008447,16.69198259,21.10823872,25.85943097,31.10092582,36.93090172,43.81581357,54.16712032,52.46636098,0.54333042,0.32111678,0.49643707,7.628E-5,0.1484105,0.0205601,0.96725239,0.25366561,2.89971289,0.019756,0.42076619,0.64989082,-0.45446077,1.56414282,0.32302473,0.75852689,-0.34665828,3.27777377,0.0,-24.29689104449285,1.5213738377639539
ESO35727_R_450px,450.0,450.0,4.88064179,0.77781746,-0.01685052,0.2073697,216.50122259,234.50185783,217.9249801,235.39109599,217.91720393,235.96593283,220.23304526,235.34636595,28.86526006,15.03647183,173.70387049,2.10156614,29.07011773,1.13570717,6.52208757,217.54617191,235.38806578,2.26345111,32.18510262,1.12351017,0.38639916,175.61640264,11638.99316406,8.71933292,13.95855241,18.74648169,23.49054439,28.62846895,34.75428571,42.85474455,54.39734897,73.754736,61.0550141,0.59073735,0.41099179,0.28712824,1.781E-5,0.09470054,0.02766481,0.60550742,0.14000546,2.74938814,0.04070252,0.43877043,0.70076022,-1.64654298,1.56971311,0.2085159,0.63380032,0.45304796,1.47420593,0.0,-148.01228089389667,1.6786393157797699
ESO357-29_R_450px,450.0,450.0,5.36516391,0.77781746,0.04313518,0.19019969,231.49969253,228.50050087,247.08313382,244.07877026,248.00995997,246.45707487,269.22423496,255.77491198,48.42110723,13.11567159,40.21240581,0.78934923,99.03670717,0.69180575,12.11817862,243.85227957,242.16368154,0.71256284,125.01011529,0.81752243,0.187503,38.58832875,22905.30664062,37.33430207,55.47860692,70.46979461,86.41736722,103.8593835,126.42143496,154.58450014,184.19011132,223.00235828,223.10326232,0.52114076,0.33186372,0.52491712,8.3E-6,0.2226252,0.1822875,0.89889425,0.23874131,9.87643883,0.10422982,0.43594996,0.62684845,-1.17640637,1.64545829,0.75771106,0.7304058,0.54445334,3.75748671,0.0,-135.00950934603844,22.03465723868397
ESO35815_R_450px,450.0,450.0,3.61623718,0.77781746,0.00745079,0.16313817,229.50102853,237.50061662,227.31521905,246.93494337,230.91688471,239.99949396,227.76829137,230.69827216,39.77006761,16.71062664,93.38358702,0.40324614,44.79788592,1.05575003,13.13558208,230.65773152,240.09464538,0.39894399,35.40142874,1.22385043,0.67357387,82.96206518,4569.46191406,14.40902809,22.79495782,31.51656061,41.27519922,51.87490398,63.59915522,75.54218251,80.92493726,88.48798959,91.98677738,0.55024358,0.23192702,0.83883086,3.57E-5,0.30235788,0.07995537,0.9951069,0.63727549,10.52784858,0.08153981,0.46868074,0.68374258,-0.34140564,1.59607163,0.402081,0.45012346,0.22586257,3.29252491,64.0,-76.9554756652148,9.684228637771001
ESO35820_R_450px,450.0,450.0,2.91233762,0.77781746,0.00714076,0.15154761,217.50000812,233.50038751,216.72338356,233.88670839,218.24552504,234.53056205,213.35075178,229.73611485,26.87939243,17.88800541,65.9932714,0.94827173,30.58111847,0.78871011,104.72315246,217.58578139,234.06735116,0.87335423,36.77220609,0.92242792,0.48805043,71.75105919,8521.65527344,12.48454511,18.91975534,25.21267406,32.16458383,40.94860913,53.33956342,69.92188446,96.83111876,138.16030669,74.85386723,0.70909943,0.52814413,0.49609201,1.778E-5,0.16153301,0.03043991,0.42003709,0.27458826,1.15879637,0.02576868,0.56372717,0.66487286,-1.72222249,1.57874418,0.28445797,0.65591064,0.56597806,2.27484291,0.0,-26.447397616443045,0.867403902181186
ESO358-49_R_450px,450.0,450.0,5.43930855,0.77781746,0.0375434,0.18471602,227.49996357,217.50082277,232.31895445,221.98528874,230.25872829,224.28072369,213.72286976,243.79809383,33.14937734,16.54596992,11.71078661,0.69473467,69.73530517,0.5000005,18.18288289,229.23924117,223.84751602,0.66526929,70.4943314,0.53557148,0.51419465,7.93354447,17377.91015625,29.53874856,42.94186973,54.12242316,64.72399803,76.42968031,89.93885929,108.4398976,129.50533529,162.80810714,140.8402499,0.47940671,0.32841398,0.66746157,1.063E-5,0.27822769,0.13196661,0.95871339,0.34534563,4.67394,0.04210683,0.46641054,0.65393688,-0.92217381,1.55753142,0.70643523,0.79062976,0.39313636,4.80700856,0.0,-137.05930028876617,6.582788781178611
ESO3585_R_450px,450.0,450.0,3.84371168,0.77781746,-2.9446E-4,0.13356821,205.50059374,226.50076961,214.48216507,230.68501984,216.75040083,230.46067679,225.74824095,229.18794053,34.89614592,26.98201865,176.32976256,0.41909002,45.96081668,0.53682764,5.9184375,217.58723978,229.08669079,0.4214698,45.73282034,0.52620099,0.76131611,10.97766665,6949.55859375,18.8198384,27.55418148,32.54697544,39.59245295,47.1907288,54.1358244,58.33337351,67.70467069,81.86864152,88.17199655,0.39043112,0.2392609,0.6989473,1.922E-5,0.27338023,0.05983822,0.7180831,0.43890871,11.237592,0.0366024,0.52519832,0.64189942,-1.00029234,1.60410399,0.46335513,0.7664944,-1.08734437,3.94377266,64.0,-155.02057135033084,9.908409233733394
ESO35863_R_450px,450.0,450.0,4.75202153,0.77781746,0.06225476,0.15099096,227.50002126,243.50066881,227.37876285,243.92282775,227.76288382,244.65012985,224.95217507,237.78819873,47.92715417,13.21248516,43.12319321,1.57900413,101.75057762,1.43648686,5.67855478,228.30590525,245.06965483,1.89107221,109.25020839,1.34221648,0.19748408,42.93893893,58299.6875,24.74218151,40.9517786,56.09640688,71.43884243,88.19187662,108.17479523,135.14703942,170.54427151,213.35847945,212.87181613,0.61956437,0.38368132,0.18759312,2.59E-6,0.17349793,0.09148617,0.9321052,0.0761902,0.20633479,0.15046553,0.10033559,0.68886218,-1.74964003,1.58891302,0.36176017,0.58359889,0.26949888,1.89310012,0.0,-73.97413366227721,0.439228610882374
ESO35867_R_450px,450.0,450.0,5.35125357,0.77781746,0.00560939,0.12758495,199.50125705,230.50091303,196.16192429,234.8420206,205.05190284,227.80292774,202.07573545,232.68561919,22.30544737,12.04277567,145.67895426,1.93141857,24.66743166,0.4999964,41.95493969,204.11682787,227.32901631,1.45869616,19.24027119,1.74176688,0.75354555,9.84508716,7025.38671875,11.06529815,15.23788033,19.61126552,24.49123696,29.64997048,32.07580019,33.57029639,36.36069315,45.09257901,44.40588177,0.3777076,0.18208081,0.281219,1.815E-5,0.52727795,0.06845368,0.97873134,0.3533144,12.33371098,0.02080571,0.27650909,0.7961302,-0.69139775,1.57517652,0.34661652,0.52143207,0.33648287,2.63947277,64.0,-52.43124838934064,5.476893117116732
