# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF
ESO501-2_U_450px                                  ,450,450,5.76237578,0.77781746,0.00155573,0.00973854,236.49993432,229.49997496,236.38029796,229.52765114,230.4554816,229.44445178,260.50178714,238.84164943,0.53876031,0.44118496,49.07760996,0.00027814,201.99999637,3.19871282,55.54344992,236.31785217,229.40242274,0.00031046,129.2567919,3.32996735,1.00000019,34.28917926,150.73265076,30.00548956,55.34518427,76.74538166,95.56209409,113.85924563,133.22943673,153.44242028,168.28100975,184.24707208,105.63079922,0.48295527,0.20903229,1.14527795,6.46E-05,0.15427759,0.04501779,0.99332469,0.93811687,0.11625008,0.0965475,0.82423807,0.53053704,-0.5466249,1.58308235,0.80724271,0.63566541,-0.13166122,9.1894043,0
ESO501-2_Z_450px                                  ,450,450,3.16311001,0.77781746,-0.0068108,0.11547758,234.50060095,227.5003818,236.98821832,227.37099733,234.07163243,228.40932129,236.59585944,228.37373986,24.38301693,7.35670541,174.18392543,1.26088396,22.70915563,0.88612406,15.87504421,233.55797587,228.25707984,1.20862763,27.72134043,1.11465779,0.21724232,173.72478333,2572.74829102,7.20524011,11.08965012,15.05201937,19.29925128,23.71727953,29.038083,36.07611155,43.42425357,54.2749621,50.93200974,0.59281452,0.35953466,0.28644533,4.487E-05,0.17577864,0.01189247,0.97647696,0.18103175,4.89079431,0.03354292,0.38666136,0.72729064,-0.55749612,1.56494034,0.31387204,0.63833217,-0.01505064,4.16921493,0
ESO501-35_F378_450px                              ,450,450,5.41435361,0.77781746,3.3E-06,0.01022359,229.50026587,229.50029588,230.25433941,229.95076015,229.49901642,230.47373256,232.60010227,231.88909144,14.10811275,9.14627484,21.93560365,0.00345878,36.99999827,3.21577136,6.71147124,228.99999489,230.00000438,0.00400842,34.44615519,2.91593951,0.60341832,26.96633415,32.54938507,4.17361155,6.95195953,9.81107084,12.96981875,16.46886763,20.34408057,24.56342028,28.47405549,34.24962737,40.50451728,0.61234209,0.31799211,1.00085451,0.00031396,0.13588963,0.00511663,0.98031868,0.64910798,2.16858854,0.00835598,0.71093933,0.57990566,0.08651941,1.56098031,0.60949165,0.73266568,1.11355895,2.32363537,0
ESO501-35_F395_450px                              ,450,450,5.25290833,0.77781746,-0.00028783,0.0152547,229.50046144,230.49995095,230.63217931,230.55679686,230.06352842,230.38971901,231.62850433,231.14118657,13.76352596,8.72628247,22.54482282,0.00448655,31.63490502,2.6720143,13.36261062,229.3398769,229.8014758,0.00022901,212.99246404,6.31721958,0.54245763,26.86401615,31.99731636,4.30493314,7.04946064,10.26040888,13.50630622,17.39541618,21.36829177,25.43481313,29.49132312,34.99311239,35.46514184,0.62153837,0.30354775,0.91742603,0.00047647,0.23825212,0.00211066,0.98134199,0.65950369,3.19509409,0.00473214,0.75789256,0.54263287,0.25771616,1.58007511,0.64834643,0.80523876,1.02180513,4.66323044,32
ESO501-35_F515_450px                              ,450,450,3.74741728,0.77781746,0.00088462,0.04471017,229.50054378,229.50118955,255.99184237,223.90349801,280.26045137,209.36127649,233.12936922,229.86531482,39.70304039,13.11081839,168.2434993,0.07274614,58.77920128,0.49999989,42.10113886,229.19001176,230.26695481,0.07679099,30.02436547,3.08871446,0.58145341,30.05705595,884.91766357,26.45015263,30.66452346,36.76338243,45.50998988,55.17919126,56.83162653,58.73667832,68.84485142,90.10507455,69.38071771,0.35123525,0.21297392,0.77715881,5.051E-05,0.22284119,0.14268051,1.00275811,0.67502818,39.02560546,0.03256554,0.60775856,0.67751079,-0.94597991,1.60015942,0.43895619,0.57868174,0.3964491,4.41920053,64
ESO501-35_F660_450px                              ,450,450,3.87344232,0.77781746,-0.00072684,0.01641522,229.50034487,229.50119306,259.31101004,222.83961581,287.89479663,218.01182815,232.23830395,228.29273253,40.7515318,12.64865993,167.45801725,0.06751667,67.3546025,0.49999987,51.94714137,229.18896871,230.09346394,0.17951818,21.96632171,1.96086804,0.56734775,30.00920916,1170.13989258,29.93192199,34.3541971,40.64799007,49.17252623,52.46090025,53.62078394,55.09004703,64.59371129,89.68788655,68.950561,0.27421044,0.23289805,0.35135878,1.402E-05,0.64864122,0.27821633,1.00205644,0.42183511,44.30117099,0.04852013,0.38573821,0.73914784,-1.12501069,1.58618424,0.32666231,0.56113383,0.83909967,1.49743498,64
ESO501-35_F861_450px                              ,450,450,3.79476717,0.77781746,0.01435452,0.07121892,229.50013371,229.50108508,256.90371895,222.65562597,282.95047196,208.96366802,235.63566607,232.39391243,39.95261786,10.47767011,165.9694517,0.02764827,138.99997453,2.04222278,94.96006438,229.09934415,230.07853518,0.44811381,22.03425622,2.07144191,0.57856958,30.72464252,2837.00439453,27.31541812,31.97772449,39.47100103,49.08216662,52.56598982,53.8776833,55.85326727,68.29098879,97.48463596,70.74574001,0.32951584,0.26823133,0.55212398,2.509E-05,0.73866777,0.20548986,1.00076302,0.57447918,39.92558547,0.0435439,0.4492998,0.70188231,-1.12263123,1.58433433,0.37993635,0.60988113,0.57783058,3.08923734,64
ESO501-35_G_450px                                 ,450,450,3.10880711,0.77781746,-5.133E-05,0.12104626,229.50081734,229.50137095,257.66363741,223.62114394,284.44375495,213.72449003,229.70971084,228.58086229,39.9023422,12.98408469,167.67367711,0.36251304,59.99510866,0.49999694,44.47533954,229.12019209,230.13182044,0.721137,22.86428059,2.1647317,0.58807643,30.57850681,5156.30810547,27.12294732,31.33406728,37.04761831,46.44004018,53.00014766,54.4424972,55.65175383,64.61439613,87.85246412,68.14455837,0.31431252,0.21947687,0.46813396,2.347E-05,0.53185215,0.2153389,1.00201774,0.50516734,42.21929119,0.03826809,0.47945124,0.71431923,-0.84250466,1.57891952,0.31830039,0.61281592,0.05903595,4.05753033,64
ESO501-35_I_450px                                 ,450,450,2.72606461,0.77781746,-0.00494854,0.12694676,229.50017971,229.50126375,257.77602933,223.22672737,289.63007102,218.01315796,239.62846392,230.25322515,40.3559726,12.57603067,167.55167494,0.77930726,63.96745487,0.49998428,48.08740359,228.97162663,230.08888753,2.09403048,21.10724278,1.9481327,0.57806212,30.60417647,12511.58105469,28.47608414,32.44067733,38.70134708,47.70469926,53.51468888,54.48958213,55.8610958,63.83368949,89.05626654,67.98706324,0.29396003,0.22119148,0.27224906,1.014E-05,1.01276306,0.31567433,1.00255851,0.34503191,42.60171937,0.04368222,0.39683757,0.75353806,-1.21938102,1.58096293,0.33759474,0.46241786,0.44958193,1.66998737,64
ESO501-35_R_450px                                 ,450,450,3.00572365,0.77781746,-0.00274661,0.10835697,229.50041296,229.50119981,259.21896869,222.84222886,284.10703338,218.50329484,232.1791813,229.78412379,40.80396679,12.85526976,167.62881419,0.59868897,67.19886842,0.4999899,52.45176217,228.94651035,230.02196905,1.73074061,21.04055721,1.98789963,0.57730163,31.7680425,10725.27832031,29.85625664,34.11351873,40.47332805,49.16575089,52.52716043,53.72139798,54.82992857,63.70791008,89.06248507,67.37291335,0.27126684,0.22931089,0.27266673,1.01E-05,1.03336986,0.3009176,0.99986967,0.34736746,45.20429459,0.04156858,0.35943889,0.74584938,-0.95944985,1.58084959,0.27640397,0.54244492,0.5920698,1.81269919,64
