id,Galaxy,RA,dec,Cluster,Sample,JClass,distance(Mpc),velocity(km/s),velocity_err,redshift
26,ESO358-49,55.0375,-35.6261,Fornax,Control,3,28.57,2027.79647,0.899378,0.00676
52,6dFGSgJ034545.4-362046,56.4392,-36.3465,Fornax,Control,1,11.85,885.886838,5.096472,0.00296
54,ESO357-29,51.3337,-36.3856,Fornax,Control,1,13.16,998.90861,0.899378,0.00333
61,MCG-06-09-023,55.6887,-33.9206,Fornax,Control,1,16.73,1224.952155,33.876552,0.00409
