,Galaxy,RA,dec,Cluster,JClass,Selection
10,ESO358-49,55.0375,-35.6261,Fornax,3,Control
33,6dFGSgJ034545.4-362046,56.4392,-36.3465,Fornax,1,Control
35,ESO357-29,51.3337,-36.3856,Fornax,1,Control
37,MCG-06-09-023,55.6887,-33.9206,Fornax,1,Control
