,# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,JClass
339,ESO501-13_R_450px                                 ,450,450,2.90054396,0.77781746,-0.0091055,0.12176318,224.50043662,225.50017652,224.75766055,225.49527437,225.16606833,226.11232482,225.27712536,225.66307543,19.32361621,12.70973559,144.5168617,2.64954698,17.26647514,3.53272022,4.25163535,224.69020617,225.60819662,1.16721277,29.0164578,4.91949281,0.54621965,144.63334899,9715.76757812,2.88080799,4.92420592,7.73231055,10.98276938,15.08184681,20.16416965,26.92399001,36.13317517,49.79591413,37.23468568,0.86556992,0.51873918,0.10999717,1.253E-05,0.03611591,0.00059224,0.97268815,0.04927782,0.6909435,0.03033262,0.38754591,0.72126428,-1.29721131,1.56924563,0.17527908,0.31240596,0.76676887,0.75027232,0,0
351,ESO501-17_R_450px                                 ,450,450,2.90054396,0.77781746,-0.01889325,0.12892713,230.50063232,221.5018251,230.61016146,222.21967413,231.09005068,223.10838408,231.01731465,222.74601754,16.68344111,9.20403779,108.04478107,0.64254308,24.94541858,4.96599645,9.42746597,230.61136718,222.6955633,0.21917918,54.78745257,7.19958887,0.34255289,107.81843354,3512.59570312,2.4643316,4.75947526,7.03286832,9.81667307,13.15186123,17.11416316,21.69337326,27.92557929,37.95385039,30.90019992,0.76844312,0.46026862,0.15670163,3.668E-05,0.07624743,0.00648519,0.8258962,0.05723884,2.35000716,0.02497684,0.67398113,0.70608579,-0.75149637,1.5749081,0.19683678,0.44647216,0.54756576,1.5001057,0,0
363,ESO501-25_R_450px                                 ,450,450,3.00572365,0.77781746,0.00040187,0.11100338,223.50029358,229.50080323,223.8792019,230.2449265,223.9638466,230.44020522,224.80935225,232.71231955,22.62142035,14.47204663,65.09009176,0.90752256,24.33966406,3.39159785,20.87649017,223.46785407,229.90081503,0.4954867,36.81181065,3.88269535,0.5789012,55.85330876,7800.95361328,4.87602059,9.034254,14.91884254,22.19463901,30.80195142,41.49978717,54.76688873,72.72063093,95.78125093,69.18863232,0.90576534,0.49270227,0.40530503,1.423E-05,0.16709268,0.01782824,0.92170347,0.24646176,1.20690274,0.05999941,0.48160466,0.71487745,-1.78654683,1.5743415,0.26622592,0.36314308,0.61002988,1.74868098,0,0
372,ESO501-2_R_450px                                  ,450,450,3.67883693,0.77781746,-0.00829451,0.09378221,233.50120459,227.50127984,235.8945434,227.93112487,234.14006988,228.48448174,234.77910799,228.91384459,24.23483563,6.60021044,174.51049184,1.35401205,24.85857747,0.74667895,9.3654189,233.44374414,228.58390278,1.20620542,28.24601317,0.99967736,0.22314287,173.65151684,2536.11865234,8.68419095,13.59355892,17.5243022,21.44605684,25.78656472,31.03547556,37.22647638,44.73120784,55.07538119,54.99806336,0.51727745,0.32956402,0.27661721,3.697E-05,0.18328061,0.01677133,0.96687915,0.16122431,4.42130597,0.03947893,0.29508801,0.74965982,-0.47181017,1.56083686,0.3273155,0.63524198,-0.23595153,1.77095967,0,0
382,ESO501-35_R_450px                                 ,450,450,3.00572365,0.77781746,-0.00274661,0.10835697,229.50041296,229.50119981,259.21896869,222.84222886,284.10703338,218.50329484,232.1791813,229.78412379,40.80396679,12.85526976,167.62881419,0.59868897,67.19886842,0.4999899,52.45176217,228.94651035,230.02196905,1.73074061,21.04055721,1.98789963,0.57730163,31.7680425,10725.27832031,29.85625664,34.11351873,40.47332805,49.16575089,52.52716043,53.72139798,54.82992857,63.70791008,89.06248507,67.37291335,0.27126684,0.22931089,0.27266673,1.01E-05,1.03336986,0.3009176,0.99986967,0.34736746,45.20429459,0.04156858,0.35943889,0.74584938,-0.95944985,1.58084959,0.27640397,0.54244492,0.5920698,1.81269919,64,0
394,ESO501-3_R_450px                                  ,450,450,2.90054396,0.77781746,0.00911138,0.12152271,216.50090802,226.50048918,217.05336404,226.69803837,217.36158618,227.26001778,217.71394019,227.203987,17.47866215,14.58185674,150.27441964,0.85254082,28.87098442,3.91317623,1.75650572,216.89676309,226.76333279,0.52604535,38.24532583,4.69709571,0.7950926,150.02682802,11000.21484375,3.59671508,6.72431849,10.60678246,15.33539578,21.25770264,28.56896885,38.17388103,51.56341498,71.29777109,51.2399989,0.8846934,0.52555963,0.26581094,1.105E-05,0.06058192,0.00567531,0.9313838,0.17077193,1.14503128,0.03435506,0.39407518,0.72683063,-1.88880579,1.57612245,0.19182146,0.24493158,0.93955212,1.03351367,0,0
404,ESO501-51_R_450px                                 ,450,450,3.00572365,0.77781746,0.03717726,0.11555876,171.50062144,238.50185755,196.66479741,233.74011973,225.48844215,227.69202998,218.75686705,230.80861634,32.95483909,14.57908649,171.6831599,1.63457128,53.74720798,0.49994637,44.87173935,222.95105825,226.93659834,0.29344798,86.19500744,3.75468943,0.62295256,16.22313601,26432.59765625,26.571938,28.37354985,29.23684896,30.0019126,30.72841563,32.91060284,39.80573231,52.85795758,72.45249925,50.81338724,0.2701967,0.3725132,0.07480517,4.37E-06,0.97282466,0.09202312,0.70910341,0.16907974,50.40155629,0.0227932,0.31804442,0.50938089,-0.73551609,1.57151547,0.25441167,0.61070033,1.1175558,1.20232943,64,0
416,ESO501-56_R_450px                                 ,450,450,3.00572365,0.77781746,-0.00628857,0.10955154,215.50025131,225.50044818,222.84510379,224.81888465,215.4378339,226.30875816,221.83948424,224.77263405,29.52067086,9.91700576,167.6569652,7.2826964,17.9245291,0.53930277,1068454954.70805,214.89059997,225.84319172,1.4537418,28.55957367,3.3517019,0.55334381,160.82564412,12401.55175781,9.01161161,13.20739943,18.47425159,24.34777285,31.8871212,41.4995729,51.84368445,57.13990304,79.34676221,61.76067163,0.63612219,0.3959139,0.20609746,8.83E-06,0.27021732,0.01581293,0.98496281,0.19751872,11.94353502,0.0370698,0.32514531,0.80574256,-1.31036143,1.56090324,0.29191735,0.25583111,1.062061,1.2649487,64,0
427,ESO501-66_R_450px                                 ,450,450,3.00572365,0.77781746,0.00123334,0.10713081,221.50029473,220.50173035,221.41151089,221.56390894,221.99398963,221.71065148,220.78691031,223.17622199,18.38443122,8.82768187,143.17188819,1.15959859,22.64280686,1.52102578,3.85993318,221.45594139,221.26602611,1.1103939,26.61307024,1.65035777,0.35691169,142.78759251,3902.91992188,5.81504685,9.56834797,13.20220525,17.25204894,21.60133157,26.85597066,32.7178668,40.64624469,54.09306983,47.40870174,0.62818347,0.39866111,0.2632702,2.744E-05,0.05724219,0.00198492,0.99420696,0.14417137,2.24828494,0.0138317,0.3640391,0.71875444,-0.34490762,1.57490226,0.1338214,0.58355913,0.37547226,1.33292736,0,0
434,ESO501-78_R_450px                                 ,450,450,3.41746921,0.77781746,-0.00390629,0.1245218,218.50031292,223.50052319,218.60123155,223.89610763,218.90032072,224.35718938,219.46700663,224.02220492,14.28895211,5.69216493,100.89940047,1.23009412,15.1684492,0.83238439,14.29950224,218.14364438,223.73787067,1.35713953,18.29615724,0.9259191,0.27204932,101.31430564,1448.60949707,4.3972059,7.22033685,9.6498911,12.12214727,14.75510434,17.96412632,21.89713426,27.72686622,36.74365592,33.32941627,0.58434333,0.39624008,0.3029024,8.592E-05,0.10018882,0.0023245,1.00039028,0.12817608,1.22490701,0.00218019,0.33001058,0.69929988,-inf,1.5755275,0.19330841,0.6884974,-0.46385095,2.41573266,0,0
442,ESO501-7_R_450px                                  ,450,450,3.67883693,0.77781746,-0.00704278,0.09655827,155.50097177,153.50084222,156.09816543,154.33827513,156.55819893,154.82028834,150.03488534,158.17238335,2.92000666,2.74857225,66.28463822,9.27154865,2.79496288,0.49999953,12.53144094,156.0000727,154.00007416,2.56979991,0.99998028,3.83147507,0.3889007,66.35021581,1656.18676758,1,1,1.03457175,1.18783116,1.36634412,1.58325516,1.86696471,2.30100042,3.20292479,2.67936846,0.3619167,0.36998665,0.0020405,5.62E-05,0.8562696,0.00107824,0.97150044,0.22379032,38.38812287,0,,0.63401032,-inf,1.57287344,0.0335701,0.52566162,0.27662273,0.10301272,65,0
453,IC1993_R_450px                                    ,450,450,4.07985882,0.77781746,0.05722372,2.05837107,206.50034325,232.50062974,207.01065885,233.33040043,207.31072798,233.35552429,259.74632489,258.01651415,18.91093421,18.37687786,151.82117293,0.22573487,176.99999866,2.85197493,13.8527368,207.24906608,233.39204335,0.46335503,120.56795278,2.13491353,0.88599802,9.52752234,83896.953125,22.7578186,39.35255464,55.74982495,70.58161095,84.14644072,101.91989706,137.92809789,155.71215202,168.74706469,129.28361999,0.59734958,0.30220048,0.04988135,2.452E-05,1.69690512,0.4507046,0.76327141,0.22115378,0.75348775,0.10989505,0.05584959,0.71513203,-0.62444803,1.5769464,0.32600413,0.00895554,1.01087599,2.11511937,0,0
465,IC2006_R_450px                                    ,450,450,3.65122489,0.77781746,0.08914214,0.27825165,215.50019023,225.50083898,215.6392458,225.9681862,216.04051726,226.54429024,215.70864451,226.25949927,25.52834212,22.91116059,129.66583095,2.72438686,44.18814019,3.2431933,3.98227171,215.54466778,226.11440255,2.25957509,47.89662818,3.63920802,0.89517453,129.73092511,74955.3671875,5.74763528,10.66791102,15.98664487,22.16051769,29.62350794,38.44755903,49.09749862,62.72693587,84.31564063,72.3346,0.76937469,0.45427166,0.19267622,3.71E-06,0.05724293,0.00531666,0.28297892,0.12070906,0.67408406,0.04713391,0.34728676,0.76569021,-2.41154179,1.57518987,0.08661535,0.26562193,0.73011568,0.72566363,0,0
485,IC2586_R_450px                                    ,450,450,3.67883693,0.77781746,0.02265355,0.10059504,213.50061624,222.50187647,213.66509394,222.75670587,214.32964327,224.56107085,214.66670656,223.77266632,15.31613264,14.39601928,177.59893431,0.15141144,83.99999995,9.83235615,15.63886087,213.63328559,223.66264666,0.08247587,70.94587171,20.771017,1.00308401,85.79834961,14956.43457031,2.64062338,5.02199653,8.07412159,12.10970769,17.3562573,24.41583912,33.57462303,42.49451465,59.01657806,43.18462688,0.92745647,0.53151794,0.15049364,6.72E-06,0.08854205,0.006793,0.8665301,0.09446178,0.70233344,0.03602709,0.3099723,0.73784661,-1.83103941,1.57441907,0.20327021,0.15905798,1.22126896,0.55259948,8,0
502,NGC1316_R_450px                                   ,450,450,4.88064179,0.77781746,1.72900164,0.61733884,210.50039349,221.50122512,210.36449265,222.30908094,211.03163819,222.70390224,207.54102828,221.16092345,27.02275859,20.32392046,147.32714186,3.64905073,136.40827953,4.53640233,11.47930328,210.58176663,222.26213563,5.05662774,118.5173361,4.24548064,0.63608759,143.27768697,706496,9.98936871,19.34650885,30.04606648,41.9412832,55.759958,71.69488193,89.0149888,111.72661033,144.22299543,140.33107259,0.76155402,0.41271207,0.06361708,8.7E-07,0.06074662,0.04204738,0.05013673,0.01201504,0.58376734,0.08313732,0.05050575,0.77184661,-2.47942942,1.56724815,0.20854907,0.17795404,-0.04570402,0.87419514,0,0
514,NGC1317_R_450px                                   ,450,450,4.88064179,0.77781746,0.24249464,0.24877565,218.50105385,235.50163962,219.27178379,237.16070179,219.72663486,236.87246469,215.50165785,229.16049731,23.80076206,19.97850045,61.32242706,5.89167622,35.25678042,3.42588939,24.20898451,219.25651173,236.306113,4.08577832,38.4281298,3.88513338,1.06748677,60.97265773,132564.90625,6.28377732,11.65692408,18.67474333,28.13305859,39.70129213,54.49359439,72.44664237,91.30636351,116.29605973,116.24628966,0.89391708,0.46676036,0.24961901,1.88E-06,0.09657857,0.02588287,0.03821117,0.23448548,1.5736824,0.12698714,0.1419513,0.83512736,-2.49999168,1.57530488,0.23859521,0.17338966,0.05465408,1.02282936,0,0
526,NGC1350_R_450px                                   ,450,450,4.13041276,0.77781746,0.31133711,0.28125861,202.50015769,239.50047493,202.96048316,239.64074547,202.71577914,240.41506979,202.51243155,239.37048418,20.88419101,16.20460741,113.04706516,5.37816944,43.81259311,3.32755293,35.56508605,202.24645783,239.87731866,1.27727163,112.49209251,4.97930056,0.68357246,103.69730889,198993.8125,8.46123876,17.25594053,29.20841555,44.73995419,62.91576483,80.64584433,97.99413803,118.97557006,146.37478243,144.58329118,0.83851916,0.36670678,0.1486056,1.41E-06,0.11710672,0.04170757,0.07397409,0.06255137,0.33283429,0.11529756,0.01478672,0.76961068,-2.70523418,1.60902714,0.46932791,0.1947955,0.56016102,1.71014705,0,0
538,NGC1351_R_450px                                   ,450,450,3.61623718,0.77781746,0.11293796,0.18038474,225.50113615,242.50108132,226.2656632,243.35729695,226.66412946,243.68385309,225.83804172,244.27350501,23.97254482,17.409825,51.11081342,2.13733221,50.01477598,4.75154174,2.99985294,226.16505012,243.19213554,1.54714312,63.52398299,5.01367005,0.64817262,51.4191968,75472.8515625,5.10362822,10.16952219,16.54556645,24.51331201,34.42589403,46.96805864,63.13278763,84.40370551,115.61070966,89.41759331,0.91906097,0.52611284,0.13645942,2.39E-06,0.04225706,0.01557949,0.23313906,0.0770014,1.28371892,0.09549232,0.31459638,0.73546167,-2.73345684,1.57497908,0.18512823,0.18393625,1.00756151,0.87784928,0,0
550,NGC1366_R_450px                                   ,450,450,4.20246628,0.77781746,0.01175829,0.25138056,209.50076351,230.50148536,209.91685375,231.33555287,210.27313365,231.90187483,210.64067044,231.13898657,27.85983196,14.17991282,92.7187027,12.2022761,19.83084604,3.01388419,22.00826233,209.78092522,231.40613608,1.00609754,66.41279994,7.87599166,0.65946279,93.40628407,49538.296875,3.76917096,6.71143366,10.72738682,15.69435529,21.49340475,28.46540631,37.51664261,49.7616572,68.02521258,54.41504674,0.87007953,0.50036469,0.11258813,5.07E-06,0.03500675,0.0056252,0.84807256,0.06494878,1.71293477,0.07940455,0.27644868,0.78736975,-2.35427745,1.5729089,0.22920962,0.22018746,0.42190538,0.5048255,0,0
562,NGC1387_R_450px                                   ,450,450,3.5782773,0.77781746,0.19135164,0.23186542,224.50154343,228.5017358,225.39398872,229.47008696,225.87860996,229.98140242,228.14358888,226.28480269,22.21166637,19.82804035,17.87324147,17.09627508,21.6685159,2.53648681,68.55883765,225.34717983,229.45199346,9.51016166,29.75763109,3.25060965,0.91553886,19.53797112,162488.34375,5.40681026,9.80850981,15.20559389,22.37416507,32.8487721,47.78458579,66.42982321,88.90636609,119.20680002,104.44293274,0.95732983,0.55978189,0.14355092,1.43E-06,0.04232585,0.01287688,0.08354243,0.04898666,1.26085703,0.1063169,0.12799076,0.79290081,-2.82401023,1.57961246,0.17375273,0.14162378,0.132705,1.10765292,0,0
574,NGC1389_R_450px                                   ,450,450,5.43930855,0.77781746,0.07580452,0.19179532,208.50188887,225.50115552,209.72312623,226.14215598,209.91553739,226.57019165,211.04904652,226.20769411,25.73502018,16.94382145,120.36716788,9.91175208,27.01555751,2.50413383,2.79988774,209.363821,226.01088253,8.45823788,28.19410494,2.79267546,0.68805019,118.68726379,77355.703125,5.26532806,9.05960678,13.31739912,18.18047908,23.8227389,30.6730616,39.70983462,52.67981483,73.08583594,55.19064758,0.76453489,0.48684153,0.05932281,2.48E-06,0.0377671,0.01492239,0.16807803,0.0238439,2.49904613,0.04478909,0.23875142,0.73609024,-2.34107898,1.57106363,0.1649498,0.31941027,0.59967856,0.41756574,0,0
586,NGC3258_R_450px                                   ,450,450,4.28766395,0.77781746,0.10461453,0.07980622,213.50033481,224.50008741,213.97035271,224.75073034,214.03928742,224.97270522,214.161143,223.21104186,14.97227477,14.11421687,176.38702751,2.79930762,25.27627876,2.88712183,23.34679281,213.51083191,224.49602057,1.64639122,36.13539858,3.53679051,0.84567886,166.50873014,47972.58203125,6.81471491,13.44134934,22.5834952,34.87969212,52.47190845,79.05142894,93.73453432,97.56705733,123.33184452,92.8993753,0.86086034,0.37114837,0.1252897,1.66E-06,0.45719925,0.00950112,0.98329957,0.08333657,0.57338522,0.04950845,0.28949251,0.75842934,-2.00766025,1.57977154,0.15207247,0.23967632,0.97279186,1.38705624,0,0
598,NGC3269_R_450px                                   ,450,450,2.36967407,0.77781746,-0.00509769,1.35914421,200.50122942,220.50084479,190.70503591,215.92242684,201.31409824,220.91096526,204.69906077,220.25900478,37.02590339,14.5404287,34.37056,5.96238481,23.28868479,0.49990231,69160280897.0809,200.82095196,220.41881199,1.17394537,29.87444417,4.07288064,1.00614263,15.07060812,24290.59375,12.89541777,18.5730574,27.6354864,40.83650991,59.33503879,66.57721223,68.79083852,83.99665434,108.39759099,77.02926091,0.65537859,0.2617084,0.20932717,5.594E-05,0.54817681,0.14773078,0.87641323,0.26359653,14.03790384,0.1198038,0.27612191,0.80029952,-0.62891436,1.58125647,0.53906018,0.17101631,1.29684875,1.43305799,64,0
609,NGC3281_R_450px                                   ,450,450,3.04681034,0.77781746,0.02644668,0.04831889,222.50017234,231.50070519,221.73127661,231.44143907,224.16369315,233.37400123,224.83512463,222.40318841,31.19564626,15.69401104,44.46081644,0.66906273,86.41862269,2.42026473,14.24318219,223.92484572,233.67177258,0.51513964,106.37638301,2.74578235,0.44459007,45.11379138,42243.8359375,16.43127654,31.04752221,44.57434233,59.82836557,75.30177394,92.69741901,117.81074019,160.0122645,178.99656326,140.8939574,0.71212633,0.37603949,0.11524476,1.14E-06,0.43943422,0.17054605,0.29747625,0.14336203,0.5473453,0.10037768,0.11563656,0.7659483,-2.17809777,1.55948958,0.30662208,0.35609817,1.24064879,1.74547849,0,0
621,NGC3285_R_450px                                   ,450,450,3.67883693,0.77781746,-0.00238105,0.11499516,228.50010566,222.50113834,230.11075541,223.40496886,229.16339934,224.1599157,226.25320774,223.18088811,29.34062505,17.57210694,20.37970333,0.09101808,191.56736732,7.63405893,9.60406809,228.41988227,224.14441928,0.04426207,303.27513507,8.29314207,0.54313306,21.98928534,29804.77734375,7.22726482,14.99725092,23.97291594,34.62634256,47.49375503,63.62264877,82.61226079,107.70440837,159.19814255,109.52002993,0.85622182,0.52530149,0.26068534,3.86E-06,0.2664467,0.09034374,0.48148797,0.18363855,1.68637367,0.11351829,0.43835407,0.74956705,-2.36530301,1.5933123,0.24087891,0.18548746,0.39904432,1.75783434,32,0
633,NGC3289_R_450px                                   ,450,450,4.31756213,0.77781746,0.00998249,0.05220621,244.50191898,154.5005118,230.8737905,182.81513091,174.04714862,146.05215518,220.87423256,201.74384477,46.89257655,21.90629941,124.94678719,0.49581029,59.99999713,0.49997371,65.33607421,246.07660753,154.56192893,15.36269557,5.43258345,1.50147875,1.00027306,82.8777722,35596.01171875,30.61405832,31.55669287,32.17356996,32.73613658,33.29738283,33.89850151,34.6121322,35.84071676,50.09021983,31.03044101,0.0552852,0.17734284,0.02387248,1.46E-06,1.09833385,0.06779556,0.99859523,0.54832566,101.26705699,0.00772483,0.19463419,0.77098577,-inf,1.55908688,0.38612826,0.39959322,0.74018193,4.51389206,80,0
644,NGC3308_R_450px                                   ,450,450,3.34190898,0.77781746,0.00956111,0.06582522,218.50061299,227.50051315,219.17331254,227.56769573,219.44857054,228.468466,224.19212221,228.35071407,25.24093336,20.78049978,121.64504724,0.14066165,127.83116081,5.47160889,13.10382437,219.00000077,227.99999837,0.6012671,52.11306275,3.37555989,0.87094037,123.28828164,22934.296875,6.22744588,12.34507687,18.97171311,25.88895437,33.71559742,43.60534413,56.51149441,74.04842616,98.90094771,79.3710809,0.77802203,0.46736959,0.18011978,2.87E-06,0.11138368,0.01312871,0.72848209,0.11046311,0.85175353,0.05061757,0.34928828,0.77473419,-2.20373326,1.57504803,0.17629784,0.24682979,0.56741609,0.98543035,0,0
654,NGC3309_R_450px                                   ,450,450,3.34190898,0.77781746,0.12679909,0.10121768,204.50037898,226.50074318,194.36205022,220.03435484,210.99449806,230.1939349,130.06713294,187.19691904,24.78969211,10.01851354,33.06741706,3.94752324,41.82181058,0.49988152,1.1401385395204E+034,209.71175794,229.79906783,0.06239867,243.82050634,7.60612455,0.88592457,157.52045963,85631.6796875,28.56794952,34.33524844,66.28445928,122.62539016,169.58365858,192.63791742,222.92213947,303.93018081,463.20746353,246.66098118,0.94703363,0.43639155,0,1.18E-06,1.44469857,0.66893458,0.55914522,0.21773369,4.87509995,0.21826364,0.02057222,0.79747604,-1.06330379,1.58057986,0.75315798,0.00911559,2.36319886,4.05816566,0,0
661,NGC3311_R_450px                                   ,450,450,3.34190898,0.77781746,0.22647461,0.10049993,229.50061186,225.50029028,229.93675474,225.73571556,230.50937603,225.6088717,257.6548605,252.54003944,7.30890497,6.88711754,133.9031772,0.69907146,60.05189419,1.99953763,15.20209014,229.87306967,225.58141317,0.50148006,74.85120966,2.25883538,0.9344931,141.99477456,133622.78125,41.45130167,94.85295469,141.80918402,153.54248437,156.19172652,190.69174681,222.30115109,231.53970524,233.59150085,156.96920515,0.38757461,0.17479901,0,7.5E-07,1.28899813,0.42474517,0.27777892,0.31545927,0.31574763,0.07697878,0.03926479,0.74903319,-1.17160822,1.59157616,0.50410935,0.25897698,0.91842116,2.38796936,16,0
667,UNKNOWN2_R_450px                                  ,450,450,2.90054396,0.77781746,-0.01226579,0.11869574,225.50095087,230.50086476,223.16014883,228.94133822,211.50340778,238.91233049,220.30901242,223.65867287,12.16820563,4.27793836,52.0840992,0.90860844,8.94783723,0.49999992,1034950.76091454,220.31933624,224.79548835,0.00232096,141.66264078,16.49926902,0.53093175,41.44291139,492.31436157,5.62905718,7.64189935,11.06974578,16.2625663,20.64848885,22.51895924,35.08509438,38.88345094,40.01666257,23.95062262,0.70656349,0.28735259,0.57907162,0.00024075,0.54399862,0.0288768,1.00064226,0.61530945,11.74389022,0.00808948,0.58165918,0.72851263,-inf,1.59909786,0.38001362,0.53857494,-0.74420715,6.33627103,96,0
674,UNKNOWN3_R_450px                                  ,450,450,3.41746921,0.77781746,-0.0170638,0.12331106,205.50109841,226.5000957,206.30114097,226.29444606,206.76385165,226.84714453,206.77070034,226.75975805,3.11849718,2.68532694,98.39708899,4.22079523,2.82590273,0.50001329,14.68647849,206.01038437,226.01481264,0.59871601,0.99999765,17.98858334,0.86404473,30.12741536,705.85296631,1,1,1,1.03747343,1.24910748,1.50445866,1.83313783,2.31168398,3.16404695,2.83183407,0.36392846,0.40364311,0.01439224,0.00017018,0.9447744,0.00078412,0.99416111,0.00895056,29.1701685,0,,0.76274186,-inf,1.56961781,0.0314907,0.49834512,0.21866931,0.17715936,73,0
683,UNKNOWN5_R_450px                                  ,450,450,4.98840495,0.77781746,-0.03070409,0.06791083,251.50050563,221.50026362,253.40959514,221.93687019,254.21749848,232.68300609,254.6246792,221.78741424,15.12936408,10.41562514,172.86422586,0.09360239,24.52601575,0.49999995,58.07891493,258.33940711,219.63167316,1.49923516,7.11224016,0.16381105,0.05353476,165.96239444,368.83758545,12.35604539,14.70406019,16.13097943,17.16168494,18.40897232,23.00725097,30.76709638,38.07768828,46.31329713,27.05621634,0.4132333,0.40067616,0.03704374,0.00018374,0.91300136,0.00636588,1.00038361,0.236568,7.23818476,0.00208549,0.83078709,0.7796938,-inf,1.57440659,0.53373694,0.53037438,-0.35098354,4.38000006,0,0
694,UNKNOWN8_R_450px                                  ,450,450,7.99268255,0.77781746,0.00567703,0.115674,290.50133221,188.50023086,291.10622371,187.24094897,291.32152854,187.42029498,293.06777932,186.10726354,3.16498551,2.97971967,91.94574919,11.23551432,4.4575265,0.49999816,13.78023571,291.31629455,186.30425398,133.87265136,3.06494033,21.00000285,0.04066213,46.31496322,6025.39599609,1,1.45530541,1.81862756,2.14510043,2.46660804,2.80989984,3.22748128,3.83943762,5.02029849,4.60974101,0.42131347,0.3086294,0.00199262,1.895E-05,0.32151103,0.00107687,0.99938849,0.01398601,30.30597722,0.00014813,0.13849173,0.69071563,-inf,1.56990044,0.09032487,0.41716142,0.4866905,0.28140788,73,0
9,2dFGRSTGS848Z606_R_450px                          ,450,450,3.65122489,0.77781746,-0.01045504,0.26677924,207.50169377,190.5013763,218.30661919,216.26331002,225.01377501,226.38711793,225.99018355,229.98213448,43.48811521,12.42122608,80.23927178,0.32369609,72.85481726,0.92248936,36.95346355,224.19808371,225.65722796,0.07532393,71.44915613,3.74370068,0.68452854,39.99934596,8895.36035156,31.89962924,46.54965813,49.6158507,52.70415745,62.44633643,67.23804958,69.07988414,71.41782995,80.54301284,84.09018215,0.18589015,0.11052091,0.69777308,2.998E-05,0.76289823,0.11131325,0.98022597,0.7635472,33.22155186,0.0666139,0.5829131,0.66246444,-0.40519397,1.51078148,0.64433026,0.60432121,-0.43250075,5.45367198,64,0
21,2MASXJ03262503-3707417_R_450px                    ,450,450,4.88064179,0.77781746,-0.00861277,0.21114847,224.50133554,226.50173288,225.50229805,227.14444705,225.59976698,227.79820881,228.21805537,227.25652152,15.82452093,10.9261208,172.15643698,1.10359708,16.07085345,1.16912726,5.35436298,225.68017921,226.70890156,0.87899245,17.97304682,1.65164645,0.64939187,172.53764574,2537.83007812,4.46628469,7.39704327,10.12846598,12.93028494,15.96549939,19.42512358,23.98444751,30.19239589,41.26264349,32.86485219,0.61083942,0.41237454,0.52592025,8.318E-05,0.1408961,0.00894628,0.99351807,0.27132562,3.6194925,0.00458257,0.60083923,0.68572915,-0.22055903,1.57194975,0.26258066,0.59964483,0.17247568,1.60950337,0,0
31,2MASXJ03324763-3414194_R_450px                    ,450,450,4.13041276,0.77781746,-0.03829497,0.12767223,224.50120249,225.5001926,225.26884767,225.72701262,225.67656271,226.24148338,225.37019867,225.58983249,22.30465962,13.55232084,28.81832538,1.79278701,18.9705036,1.73782254,11.59019401,225.16519701,225.72241212,1.29270039,23.64424999,2.21703883,0.54630668,30.76846451,6419.24121094,5.08113422,8.39615428,11.91821406,16.06093499,21.13016871,27.64593449,36.3809966,48.43371724,65.1863001,44.91641833,0.76106739,0.48925337,0.32428941,1.989E-05,0.08935845,0.00497487,0.50182371,0.21848378,1.78209645,0.01611193,0.52884405,0.69108049,-1.20191498,1.57468907,0.16087339,0.50876761,0.61671257,0.8126557,0,0
43,2MASXJ03352407-3621496_R_450px                    ,450,450,3.8523013,0.77781746,-0.00121914,0.15285487,225.50021175,225.50049029,225.58135622,225.7731838,225.91944733,226.09166223,225.70368238,225.75805945,12.8602293,10.84427784,95.22251626,1.39560691,13.33044884,1.37233422,6.31331492,225.40185963,225.59175129,1.22525813,14.24912022,1.60681118,0.8263014,101.93553612,2998.19213867,3.85246829,6.07869418,8.4404277,10.97156529,13.9559586,17.72156588,22.41276511,28.64430749,38.86955129,31.94684606,0.67322803,0.44484985,0.44244466,5.097E-05,0.07242455,0.00117692,0.9807817,0.27803657,0.89057436,0.00395512,0.40441719,0.72200625,-0.29929513,1.57133078,0.22511094,0.56795707,0.6182018,0.88385619,0,0
54,2MASXJ03381926-3507447_R_450px                    ,450,450,3.5782773,0.77781746,0.00279176,0.17019193,226.50057097,224.50054203,226.63617603,224.90656464,227.29707921,225.20182754,225.78296981,223.18553536,12.98002643,11.82214793,26.24822032,0.67128769,17.51036824,1.37868579,3.79913844,226.79027561,224.77354421,0.61097691,18.70390111,1.53234523,0.86202394,19.75342385,2572.74291992,4.83926555,7.76529095,10.77504768,13.97418555,17.52289644,21.7700642,27.24246363,34.99784042,46.67469414,39.69865062,0.65388351,0.42547559,0.69249611,6.614E-05,0.10539205,0.00494032,0.95233092,0.40610359,1.07829616,0.00785135,0.54692448,0.67995576,-1.04326125,1.56904022,0.32421867,0.64707767,0.61001481,2.7582448,0,0
