,# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,JClass
112,2MASXJ10463276-2631418_R_450px                    ,450,450,3.41746921,0.77781746,-0.00951545,0.12308204,227.5004055,223.50118548,227.98963697,224.31428816,228.82183222,225.23033147,227.19986205,225.67011706,7.40179715,6.8685053,3.32806803,0.19681453,19.56682427,2.93817445,16.73583941,228.00223479,224.99793776,0.11820597,24.33343869,3.57428502,0.98936402,167.4294271,935.79284668,2.29506663,4.16341029,6.51021986,8.66909046,10.74086492,13.05967202,15.96544124,20.48830322,29.30307365,20.7399755,0.69205678,0.43587392,0.53337097,0.00013145,0.10656065,0.00124307,1.00099929,0.33472978,4.57540576,0.00219875,0.39591107,0.69990418,-inf,1.56782652,0.24379532,0.50642994,0.43575069,3.1749639,8,0
122,6dFGSgJ103114.1-283956_R_450px                    ,450,450,3.67883693,0.77781746,-0.00490526,0.09455977,219.50184567,227.50099251,220.42340556,227.96780716,220.84177306,228.34724179,221.14309426,228.54653592,10.50974401,5.25547666,144.97473573,2.1854522,9.58125326,3.6443786,7.80094708,220.54705294,227.73003964,2.90588031,10.22454565,2.71304843,0.30362307,146.0209873,1607.76538086,2.13366653,3.6222,4.76422705,6.48422643,8.27810825,10.76131334,13.73180363,17.50260451,23.62484423,20.2673402,0.68413025,0.45543785,0.09445247,5.873E-05,0.14062979,0.00647942,0.99509172,0.0254897,5.09710784,0.00948283,0.39318565,0.70710985,-inf,1.57314706,0.08260756,0.52682444,0.45886142,1.262407,0,0
131,6dFGSgJ104025.5-275251_R_450px                    ,450,450,4.98840495,0.77781746,0.01238175,0.12337662,212.50066371,225.50069735,212.67571456,225.78572913,213.01283378,226.24617001,214.15406613,226.37194619,6.96162354,6.81749654,41.77011498,2.71049387,11.93395941,1.7257341,11.28526268,212.57424732,225.81597566,2.33916674,13.18903818,1.93392536,0.91209674,59.17994094,6014.17382812,3.44131747,5.60084964,7.6866745,10.29115498,13.59649935,17.52049108,22.53538135,30.11031345,40.44705614,28.86331124,0.73046136,0.47345981,0.19348051,2.051E-05,0.11833255,0.00286943,1.00056746,0.17085874,1.15888826,0.00176176,0.1650829,0.72885821,-inf,1.57284098,0.16075172,0.50868779,0.38465571,1.29351318,0,0
142,6dFGSgJ104617.1-282524_R_450px                    ,450,450,4.98840495,0.77781746,-0.00238753,0.11583914,222.50222497,224.50120718,223.42823343,224.89280884,223.8837321,225.51125156,223.92925596,225.28937776,6.95936323,5.4026189,106.44110906,9.5376656,6.4941503,0.70228963,33.00170709,223.2223252,224.66424526,11.04050677,6.88894075,0.75770323,0.57494427,101.37196282,3295.20507812,2.6385362,3.74630528,4.70088939,5.7144224,6.91034654,8.07615989,9.54289231,11.47983218,14.70772334,13.93057266,0.48633237,0.32804563,0.05068639,3.511E-05,0.16121155,0.00895843,0.99831627,0.0130114,7.21727077,0.00189484,0.27383771,0.72804798,-inf,1.57127166,0.0384538,0.68530236,-0.00828401,0.4611141,0,0
152,ESO35810_R_450px                                  ,450,450,3.84371168,0.77781746,0.01280071,0.13989964,219.50049131,217.50149074,219.56025424,218.91327049,221.10323155,218.73187024,219.15443786,218.87118398,25.7746972,16.70620587,149.54025509,0.62853875,34.37468823,1.09967349,16.73754652,220.45045778,218.31403648,0.4595815,42.03925744,1.40705112,0.60957986,152.13128089,7412.47851562,11.87633289,18.97742271,26.06984316,34.86447806,44.68068567,55.82966862,70.24135957,92.84267148,113.28072718,87.96092428,0.6895104,0.4040362,0.64475258,1.887E-05,0.251231,0.029844,0.95887542,0.39732008,1.60644528,0.02491223,0.45340468,0.6724419,-1.51357555,1.58829598,0.321942,0.66200878,0.68288556,3.00024206,0,0
164,ESO35825_R_450px                                  ,450,450,2.91233762,0.77781746,0.01655031,0.14943905,200.50136958,231.50036588,201.64474791,231.64907298,201.91093663,231.97619472,201.77244664,232.67791423,27.96804152,18.25449665,146.49224689,2.75432234,24.78805358,1.04109798,53.5986465,201.43089607,231.119515,2.1804772,29.62248344,1.25550098,0.59456449,149.40567517,16234.79492188,8.58962535,13.8831272,18.98365923,24.34182637,30.81960285,39.50616735,51.19389194,67.34029927,91.80681174,73.44534069,0.68578774,0.47404787,0.31923082,9.2E-06,0.08978912,0.0294832,0.1646815,0.18709233,1.56988605,0.03540576,0.54476579,0.72980116,-2.14882434,1.57403533,0.14582407,0.5553059,0.73810364,1.43340403,0,0
176,ESO35851_R_450px                                  ,450,450,4.75202153,0.77781746,0.00402402,0.12689304,212.50127161,224.50095164,213.19805902,225.73913138,213.63035315,225.92739494,214.81292307,223.13129131,27.25601342,15.62053715,92.15272193,2.57523425,25.94113727,1.05776997,23.88309349,213.06512643,225.29508916,2.27737265,30.06137277,1.25753239,0.47374852,100.76818296,13399.68164062,8.62235407,13.46637312,18.04491971,23.05739115,29.0151261,36.38994396,45.65533194,57.50318794,76.67926702,67.70667148,0.63044128,0.42205349,0.22264013,9.47E-06,0.12436328,0.03334593,0.97306507,0.13093032,2.09842698,0.02690994,0.30970975,0.73505478,-1.36697159,1.56338276,0.19196683,0.59242902,0.19892715,1.03044779,0,0
188,ESO3589_R_450px                                   ,450,450,3.61623718,0.77781746,0.00615009,0.15702201,230.50035101,234.49993133,229.12176144,233.35642856,230.21728863,234.10205397,231.38395555,235.68561499,57.81414295,14.50653121,42.15459891,1.02614931,71.58274278,0.84789036,4.901868,230.41421638,233.74509788,1.14143727,75.94546781,0.76551732,0.20099594,41.93728918,14130.33691406,24.19001109,36.00259807,46.74078212,57.73110597,69.33613897,81.59836892,95.72938963,113.84561861,143.98574284,136.5304603,0.49998248,0.31735984,0.39701767,1.111E-05,0.13365596,0.04617856,0.81091538,0.20682873,1.31188245,0.0806074,0.30903573,0.68808629,-1.62020599,1.6022689,0.47027931,0.71131928,0.02347862,1.94691245,0,0
197,ESO375-28_R_450px                                 ,450,450,2.36967407,0.77781746,0.00068067,0.07139541,197.50081266,239.50093195,198.51470755,238.97822697,214.68395038,225.76314836,208.7037112,227.74919544,24.99371228,7.5926597,139.55267953,0.7818803,39.44266261,0.49999435,47.81892909,214.18768738,225.28610138,0.31598107,41.06538082,2.73595272,0.45177976,147.53796716,4536.94482422,18.37902308,23.34352713,26.05534835,27.12815439,28.72740397,33.25333459,42.49755686,55.63246726,75.0796454,59.88499096,0.37716184,0.41722583,0.2346858,1.573E-05,0.75581232,0.10620788,0.9987751,0.30747407,1.90482287,0.05770101,0.34093503,0.76761026,-0.13638658,1.58962388,0.29940202,0.17387678,0.44216475,1.97236,0,0
207,ESO375-41_R_450px                                 ,450,450,2.36967407,0.77781746,-0.01128907,0.07627076,202.50103426,223.50144145,213.54886765,223.97513683,203.36727833,224.95535246,203.52469718,225.2585198,26.73293023,13.17993564,7.62432495,1.99379505,22.14012845,0.49998772,6763.16342087,202.99999869,224.99999871,0.97349144,28.66426782,2.79295637,0.46198183,55.7395791,6235.34619141,10.44423191,13.01500496,16.6637488,21.17770828,27.2696126,35.82814862,47.92674668,57.27457285,59.79872117,48.8844482,0.64351752,0.34101293,0.1881634,1.223E-05,0.06125761,0.01011048,0.69526527,0.1688188,22.62065831,0.05591382,0.34767199,0.80900235,-1.46169728,1.65115824,0.72120059,0.23899425,1.10850219,1.33628337,64,0
216,ESO375-57_R_450px                                 ,450,450,3.04681034,0.77781746,0.00176069,0.04307562,236.4999523,212.50116717,228.16420553,202.79729608,240.63575846,215.30572281,236.66994885,213.82235206,25.65881253,12.45425777,47.80846233,0.6637046,37.44933348,0.49999579,36.02953875,240.3525787,214.8205777,0.1391276,54.53621584,6.3493299,0.63119964,152.09335335,5868.46923828,16.74101452,19.67282091,24.90707891,31.66138275,36.35882118,37.69393401,39.12092649,46.77268895,61.32211658,52.3230286,0.3761257,0.22700734,0.14831603,7.34E-06,0.63943946,0.03556776,0.98533364,0.2389109,24.44921106,0.02424539,0.2827282,0.77787531,-0.24382233,1.57705972,0.21712417,0.25894857,1.0134687,2.0721345,64,0
227,ESO375-59_R_450px                                 ,450,450,3.04681034,0.77781746,0.01551224,0.0443043,216.50110675,225.50117458,217.19803059,226.30655775,217.6036475,227.21984506,218.28226026,228.27338974,13.30386415,10.39320523,31.69366718,0.04312275,136.99999656,5.91074732,13.83196671,217.01599304,226.97411269,0.08854205,79.35824607,4.8364498,0.93259267,26.04486099,7394.63085938,5.2463308,10.72889459,16.74350433,23.01700787,29.47530008,38.34865715,49.89117659,66.21632916,78.76149726,69.6036566,0.79041012,0.42685573,0.29115869,5.99E-06,0.27062891,0.05464831,0.98555344,0.41697955,1.53017289,0.03017084,0.29453315,0.78343093,-0.48814966,1.57655428,0.20204851,0.23434573,1.46417076,2.285421,8,0
