id,Galaxy,Cluster,Selection,redshift,distance,JClass,M_star,SFR(Reff),Halpha_flux(Reff),Reff
1,LEDA83201,Antlia,Sample,0.01347,64.3,4,1.1679130771629903E9,0.05760728323681935,1.4672868966144223E-14,21.272564121833923
20,6dFGSgJ040053.2-351416,Fornax,Sample,0.0151,65.78,4,3.554895249406785E8,0.19271549089883663,4.690168850105482E-14,15.178715659291974
22,NGC1341,Fornax,Sample,0.00626,26.17,4,2.349658215521819E8,0.39529454156718935,6.078171681131952E-13,24.75051920954433
64,sn2004gi,Hydra,Sample,-99.0,126.6,4,8.796511436590548E9,0.9930823771846089,6.524954002054285E-14,22.011464315706597
