id,Galaxy,Cluster,Selection,redshift,distance,JClass,M_star,SFR(Reff),Halpha_flux(Reff),Reff
2,ESO375-70,Antlia,Sample,0.01283,61.52,3,1.0380496231781372E8,0.3149628756587765,5.641884035663449E-14,14.31013527258534
3,LEDA83062,Antlia,Sample,0.0061,31.73,3,7.682641495855843E7,0.11167397685288402,2.0003996530940974E-14,7.5331760755131665
26,ESO358-49,Fornax,Control,0.00676,28.57,3,7.704063108827752E7,0.17126023193689344,1.8440942997226161E-13,49.79743987791012
25,2MASXJ03235400-3730449,Fornax,Sample,0.00466,19.04,3,6.91704125369896E7,0.18016672594072622,1.939997561310127E-13,24.021836832745134
24,2dFGRSTGS471Z004,Fornax,Sample,0.1359,599.11,3,1.5832078623370612E11,0.0290531651465527,3.128383958711429E-14,17.690431077627757
28,ESO35867,Fornax,Sample,0.01716,74.71,3,1.4817427337348E9,0.060091401252622204,6.470516199764244E-14,13.201735498948237
66,6dFGSgJ103645.4-281005,Hydra,Sample,-99.0,201.1,3,6.5998329773070564E10,0.45565800103852205,4.562816616593797E-14,15.53516484562467
